sequence,camera,algo,t_err_rmse_f,t_err_median_f,r_err_rmse_f,r_err_median_f,t_err_rmse_s,t_err_median_s,r_err_rmse_s,r_err_median_s
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,still,0.007854421,0.0065376987,0.38337755,0.01190804,0.20858584,0.18651402,2.0002434,0.27032116
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,vors-norm,0.021054974,0.00528463,0.3841987,0.004674203,0.12345456,0.018671544,2.1123564,0.013630521
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,vors,0.009479461,0.0050724037,0.38420734,0.0045065284,0.058114152,0.018253047,2.1125028,0.013246204
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,vors-huber,0.01565546,0.0053722532,0.38422376,0.00476765,0.08976268,0.018366914,2.1129792,0.012890107
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,dvo,0.006668739,0.004841281,0.3842105,0.004431976,0.039549083,0.02351365,2.1122932,0.014046621
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,vors-robust,0.019921312,0.0052998913,0.3842438,0.0047241054,0.117682114,0.017109662,2.1131709,0.013130159
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,ocv-icp,0.007856074,0.006533834,0.3833779,0.011943203,0.20858769,0.18642643,2.0002496,0.27032116
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,fovis,0.007866694,0.0052405223,0.38428053,0.004839312,0.059441667,0.02971666,2.1055975,0.027006596
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,ocv-rgbd,0.006118011,0.0044600354,0.38418207,0.0044800118,0.04705425,0.024772214,2.112041,0.020430617
rgbd_dataset_freiburg3_sitting_halfsphere,fr3,ocv-rgbd-icp,0.007856074,0.006533834,0.3833779,0.011943203,0.20858769,0.18642643,2.0002496,0.27032116
rgbd_dataset_freiburg1_xyz,fr1,vors-huber,0.005768373,0.0042019696,0.005965996,0.004379302,0.023948614,0.019944308,0.023365462,0.018637905
rgbd_dataset_freiburg1_xyz,fr1,vors,0.005651745,0.004101028,0.0058689346,0.004364924,0.040623482,0.02554074,0.043175913,0.025924977
rgbd_dataset_freiburg1_xyz,fr1,ocv-rgbd-icp,0.011280605,0.010675245,0.011841481,0.008867994,0.27397174,0.26203677,0.18508387,0.13504055
rgbd_dataset_freiburg1_xyz,fr1,ocv-rgbd,0.0053675594,0.0038587665,0.0064288694,0.004901983,0.034228146,0.023457881,0.035725124,0.024877816
rgbd_dataset_freiburg1_xyz,fr1,vors-norm,0.005957469,0.004066463,0.0062135374,0.0044245464,0.047912512,0.023101913,0.050353996,0.024554323
rgbd_dataset_freiburg1_xyz,fr1,still,0.011271582,0.010704582,0.01192753,0.008939671,0.2739769,0.2634551,0.18511625,0.13418172
